user_id,date,day_since_install,sessions,playtime_minutes
U00051,2026-01-01,0,1,28.1
U00062,2026-01-01,0,2,15.1
U00110,2026-01-01,0,3,29.3
U00264,2026-01-01,0,2,59.7
U00454,2026-01-01,0,2,22.3
U00602,2026-01-01,0,1,20.8
U00617,2026-01-01,0,1,5.4
U00622,2026-01-01,0,2,11.1
U00654,2026-01-01,0,2,40.3
U00659,2026-01-01,0,4,18.1
U00663,2026-01-01,0,2,74.5
U00695,2026-01-01,0,1,50.1
U00740,2026-01-01,0,1,62.5
U00779,2026-01-01,0,1,29.5
U00864,2026-01-01,0,2,48.0
U00873,2026-01-01,0,3,50.8
U00898,2026-01-01,0,1,37.6
U01006,2026-01-01,0,1,9.1
U01012,2026-01-01,0,3,96.0
U01216,2026-01-01,0,2,25.0
U01381,2026-01-01,0,3,13.0
U01411,2026-01-01,0,1,23.9
U01420,2026-01-01,0,2,39.3
U01467,2026-01-01,0,1,30.6
U01605,2026-01-01,0,2,9.2
U01636,2026-01-01,0,1,37.8
U01661,2026-01-01,0,3,41.4
U01708,2026-01-01,0,2,30.3
U01712,2026-01-01,0,2,33.0
U01865,2026-01-01,0,1,31.8
U01868,2026-01-01,0,4,29.7
U01876,2026-01-01,0,6,29.7
U01923,2026-01-01,0,2,27.7
U01946,2026-01-01,0,2,63.9
U01982,2026-01-01,0,1,61.8
U02044,2026-01-01,0,1,38.1
U02059,2026-01-01,0,1,10.8
U02160,2026-01-01,0,1,34.5
U02309,2026-01-01,0,1,21.8
U02313,2026-01-01,0,2,28.2
U02341,2026-01-01,0,1,22.3
U02409,2026-01-01,0,2,8.1
U02522,2026-01-01,0,2,59.5
U02576,2026-01-01,0,2,8.5
U02703,2026-01-01,0,1,37.1
U02826,2026-01-01,0,2,26.5
U02867,2026-01-01,0,1,28.3
U03047,2026-01-01,0,1,23.7
U03057,2026-01-01,0,3,25.5
U03098,2026-01-01,0,4,9.2
U03175,2026-01-01,0,3,33.9
U03181,2026-01-01,0,2,36.8
U03192,2026-01-01,0,2,55.6
U03193,2026-01-01,0,1,20.0
U03261,2026-01-01,0,2,32.6
U03314,2026-01-01,0,2,24.6
U03323,2026-01-01,0,5,11.9
U03361,2026-01-01,0,2,99.7
