user_id,payment_date,day_since_install,product_type,amount_usd
U04234,2026-01-01,0,Small Pack,1.99
U10024,2026-01-01,0,Monthly Pass,5.99
U10890,2026-01-01,0,Small Pack,1.99
U12956,2026-01-01,0,Small Pack,2.99
U24469,2026-01-01,0,Cosmetic,9.99
U36127,2026-01-01,0,Cosmetic,19.99
U42929,2026-01-01,0,Premium Pack,19.99
U09966,2026-01-02,1,Event Pack,14.99
U11005,2026-01-02,0,Cosmetic,29.99
U13717,2026-01-02,0,Small Pack,0.99
U16204,2026-01-02,0,Cosmetic,9.99
U16876,2026-01-02,0,Monthly Pass,4.99
U21186,2026-01-02,0,Small Pack,2.99
U21826,2026-01-02,0,Cosmetic,29.99
U25431,2026-01-02,0,Event Pack,4.99
U27349,2026-01-02,0,Monthly Pass,5.99
U30985,2026-01-02,0,Event Pack,9.99
U34553,2026-01-02,0,Cosmetic,9.99
U39437,2026-01-02,1,Small Pack,0.99
U48343,2026-01-02,0,Small Pack,0.99
U06602,2026-01-03,1,Small Pack,2.99
U10793,2026-01-03,2,Monthly Pass,5.99
U11742,2026-01-03,1,Event Pack,9.99
U12364,2026-01-03,2,Monthly Pass,4.99
U13315,2026-01-03,1,Cosmetic,9.99
U17206,2026-01-03,0,Event Pack,14.99
U19262,2026-01-03,1,Cosmetic,9.99
U23051,2026-01-03,1,Premium Pack,49.99
U25076,2026-01-03,0,Event Pack,14.99
U29111,2026-01-03,1,Event Pack,4.99
U33545,2026-01-03,2,Premium Pack,49.99
U34553,2026-01-03,1,Small Pack,2.99
U34761,2026-01-03,0,Monthly Pass,5.99
U40280,2026-01-03,0,Event Pack,9.99
U43617,2026-01-03,0,Event Pack,4.99
U46839,2026-01-03,0,Premium Pack,49.99
U01186,2026-01-04,2,Monthly Pass,5.99
U03940,2026-01-04,0,Event Pack,14.99
U04001,2026-01-04,3,Event Pack,14.99
U04363,2026-01-04,2,Monthly Pass,4.99
U07171,2026-01-04,0,Small Pack,1.99
U16843,2026-01-04,3,Cosmetic,9.99
U21826,2026-01-04,2,Small Pack,0.99
U22085,2026-01-04,0,Cosmetic,29.99
U25635,2026-01-04,0,Small Pack,0.99
U29469,2026-01-04,1,Monthly Pass,5.99
U29686,2026-01-04,0,Premium Pack,19.99
U34553,2026-01-04,2,Small Pack,0.99
U39183,2026-01-04,3,Premium Pack,19.99
U40574,2026-01-04,2,Premium Pack,49.99
U42368,2026-01-04,0,Event Pack,4.99
U46954,2026-01-04,0,Event Pack,4.99
U48866,2026-01-04,1,Premium Pack,19.99
U00041,2026-01-05,3,Monthly Pass,4.99
U01763,2026-01-05,0,Event Pack,4.99
U11852,2026-01-05,1,Monthly Pass,5.99
U14877,2026-01-05,4,Monthly Pass,4.99
U15277,2026-01-05,2,Event Pack,9.99
U17093,2026-01-05,0,Small Pack,2.99
U17252,2026-01-05,2,Small Pack,0.99
U22669,2026-01-05,2,Monthly Pass,5.99
U25174,2026-01-05,4,Monthly Pass,5.99
U26444,2026-01-05,4,Monthly Pass,5.99
U28186,2026-01-05,0,Monthly Pass,4.99
U28316,2026-01-05,0,Monthly Pass,5.99
U28580,2026-01-05,2,Premium Pack,19.99
U29353,2026-01-05,0,Monthly Pass,4.99
U29361,2026-01-05,0,Premium Pack,49.99
U30694,2026-01-05,0,Premium Pack,49.99
U34269,2026-01-05,4,Small Pack,1.99
U41717,2026-01-05,4,Small Pack,1.99
U42368,2026-01-05,1,Small Pack,0.99
U45765,2026-01-05,0,Premium Pack,49.99
U49670,2026-01-05,4,Event Pack,14.99
U01763,2026-01-06,1,Small Pack,1.99
U02576,2026-01-06,5,Small Pack,1.99
U05328,2026-01-06,1,Small Pack,2.99
U11506,2026-01-06,0,Small Pack,1.99
U11792,2026-01-06,4,Event Pack,14.99
U12354,2026-01-06,1,Small Pack,1.99
U12379,2026-01-06,1,Monthly Pass,5.99
U13315,2026-01-06,4,Premium Pack,99.99
U13663,2026-01-06,3,Cosmetic,29.99
U18168,2026-01-06,5,Event Pack,9.99
U21397,2026-01-06,0,Premium Pack,49.99
U30479,2026-01-06,2,Cosmetic,29.99
U36246,2026-01-06,1,Monthly Pass,5.99
U38225,2026-01-06,0,Monthly Pass,5.99
U39605,2026-01-06,5,Small Pack,2.99
U44623,2026-01-06,3,Monthly Pass,5.99
U45765,2026-01-06,1,Small Pack,0.99
U45832,2026-01-06,0,Event Pack,14.99
U46974,2026-01-06,0,Premium Pack,99.99
U47249,2026-01-06,2,Premium Pack,19.99
U47698,2026-01-06,0,Monthly Pass,5.99
U48117,2026-01-06,5,Event Pack,9.99
U48343,2026-01-06,4,Monthly Pass,4.99
U48448,2026-01-06,4,Small Pack,2.99
U49042,2026-01-06,2,Small Pack,2.99
U49222,2026-01-06,5,Small Pack,2.99
U01762,2026-01-07,0,Premium Pack,19.99
U03662,2026-01-07,4,Small Pack,0.99
U11068,2026-01-07,1,Monthly Pass,5.99
U11131,2026-01-07,3,Event Pack,4.99
U11230,2026-01-07,0,Small Pack,1.99
U12767,2026-01-07,0,Premium Pack,19.99
U16136,2026-01-07,3,Event Pack,9.99
U16997,2026-01-07,0,Small Pack,1.99
U17217,2026-01-07,0,Small Pack,1.99
U17533,2026-01-07,2,Premium Pack,49.99
U20206,2026-01-07,1,Monthly Pass,4.99
U20505,2026-01-07,0,Cosmetic,9.99
U21083,2026-01-07,1,Event Pack,14.99
U22132,2026-01-07,5,Small Pack,0.99
U24026,2026-01-07,1,Event Pack,14.99
U24499,2026-01-07,2,Cosmetic,9.99
U24928,2026-01-07,6,Small Pack,0.99
U25720,2026-01-07,0,Small Pack,0.99
U26593,2026-01-07,2,Event Pack,14.99
U28019,2026-01-07,3,Event Pack,4.99
U30494,2026-01-07,6,Cosmetic,9.99
U36917,2026-01-07,4,Cosmetic,19.99
U36923,2026-01-07,0,Small Pack,0.99
U40825,2026-01-07,0,Event Pack,14.99
U41446,2026-01-07,5,Event Pack,14.99
U42303,2026-01-07,0,Event Pack,14.99
U42783,2026-01-07,3,Event Pack,9.99
U43826,2026-01-07,6,Cosmetic,9.99
U45162,2026-01-07,0,Small Pack,1.99
U46973,2026-01-07,5,Small Pack,1.99
U47940,2026-01-07,0,Event Pack,4.99
U48660,2026-01-07,2,Small Pack,1.99
U02792,2026-01-08,0,Event Pack,14.99
U05238,2026-01-08,0,Small Pack,0.99
U05468,2026-01-08,0,Event Pack,9.99
U05499,2026-01-08,4,Small Pack,1.99
U06552,2026-01-08,6,Monthly Pass,4.99
U08754,2026-01-08,2,Monthly Pass,5.99
U13137,2026-01-08,5,Cosmetic,9.99
U13624,2026-01-08,3,Premium Pack,99.99
U14168,2026-01-08,2,Event Pack,14.99
U14585,2026-01-08,0,Small Pack,2.99
U18924,2026-01-08,6,Event Pack,14.99
U22250,2026-01-08,3,Event Pack,4.99
U22602,2026-01-08,0,Small Pack,2.99
U24026,2026-01-08,2,Event Pack,9.99
U24499,2026-01-08,3,Premium Pack,99.99
U25738,2026-01-08,0,Small Pack,1.99
U28186,2026-01-08,3,Cosmetic,19.99
U30275,2026-01-08,4,Monthly Pass,5.99
U30886,2026-01-08,7,Event Pack,14.99
U31325,2026-01-08,2,Small Pack,2.99
U34032,2026-01-08,1,Event Pack,4.99
U35919,2026-01-08,6,Event Pack,9.99
U37863,2026-01-08,0,Event Pack,9.99
U38017,2026-01-08,0,Cosmetic,19.99
U39183,2026-01-08,7,Small Pack,0.99
U39700,2026-01-08,3,Event Pack,4.99
U39971,2026-01-08,0,Monthly Pass,5.99
U40156,2026-01-08,1,Premium Pack,49.99
U41385,2026-01-08,5,Small Pack,1.99
U43826,2026-01-08,7,Event Pack,9.99
U44702,2026-01-08,0,Cosmetic,19.99
U45077,2026-01-08,5,Cosmetic,19.99
U45652,2026-01-08,0,Cosmetic,9.99
U46243,2026-01-08,0,Event Pack,14.99
U47502,2026-01-08,5,Event Pack,14.99
U48880,2026-01-08,3,Event Pack,9.99
U49460,2026-01-08,0,Small Pack,0.99
U00013,2026-01-09,2,Event Pack,4.99
U01308,2026-01-09,0,Monthly Pass,4.99
U01431,2026-01-09,2,Event Pack,4.99
U01537,2026-01-09,0,Cosmetic,9.99
U01763,2026-01-09,4,Monthly Pass,4.99
U01937,2026-01-09,0,Event Pack,14.99
U02754,2026-01-09,3,Event Pack,14.99
U03595,2026-01-09,0,Event Pack,14.99
U03627,2026-01-09,0,Cosmetic,19.99
U08787,2026-01-09,0,Monthly Pass,5.99
U11068,2026-01-09,3,Small Pack,2.99
U11876,2026-01-09,4,Monthly Pass,5.99
U12061,2026-01-09,8,Event Pack,14.99
U13031,2026-01-09,3,Small Pack,1.99
U13220,2026-01-09,0,Small Pack,1.99
U14168,2026-01-09,3,Cosmetic,29.99
U14575,2026-01-09,8,Event Pack,4.99
U14593,2026-01-09,0,Event Pack,14.99
U17694,2026-01-09,4,Monthly Pass,5.99
U18777,2026-01-09,6,Small Pack,2.99
U20004,2026-01-09,0,Event Pack,9.99
U20107,2026-01-09,4,Monthly Pass,5.99
U21126,2026-01-09,0,Premium Pack,19.99
U21261,2026-01-09,6,Cosmetic,29.99
U22244,2026-01-09,2,Event Pack,14.99
U22535,2026-01-09,0,Monthly Pass,4.99
U25228,2026-01-09,0,Premium Pack,99.99
U25956,2026-01-09,8,Premium Pack,99.99
U27884,2026-01-09,2,Monthly Pass,4.99
U29265,2026-01-09,7,Monthly Pass,5.99
U30842,2026-01-09,4,Monthly Pass,5.99
U31039,2026-01-09,1,Small Pack,2.99
U32039,2026-01-09,8,Small Pack,1.99
U32697,2026-01-09,0,Event Pack,9.99
U32887,2026-01-09,0,Monthly Pass,4.99
U33353,2026-01-09,5,Small Pack,0.99
U34271,2026-01-09,6,Premium Pack,99.99
U34374,2026-01-09,1,Cosmetic,9.99
U36246,2026-01-09,4,Event Pack,14.99
U36679,2026-01-09,4,Event Pack,14.99
U38839,2026-01-09,0,Event Pack,14.99
U39143,2026-01-09,0,Premium Pack,19.99
U39700,2026-01-09,4,Monthly Pass,4.99
U41044,2026-01-09,4,Small Pack,0.99
U42792,2026-01-09,5,Event Pack,4.99
U43491,2026-01-09,2,Event Pack,4.99
U44739,2026-01-09,0,Cosmetic,29.99
U45642,2026-01-09,1,Small Pack,2.99
U45993,2026-01-09,0,Event Pack,4.99
U46374,2026-01-09,7,Monthly Pass,5.99
U47829,2026-01-09,8,Small Pack,2.99
U49239,2026-01-09,4,Monthly Pass,5.99
U49846,2026-01-09,1,Event Pack,4.99
U00387,2026-01-10,0,Monthly Pass,5.99
U01106,2026-01-10,5,Small Pack,1.99
U03455,2026-01-10,0,Cosmetic,19.99
U04932,2026-01-10,2,Small Pack,2.99
U05468,2026-01-10,2,Monthly Pass,5.99
U05774,2026-01-10,8,Cosmetic,9.99
U05979,2026-01-10,5,Monthly Pass,4.99
U07876,2026-01-10,0,Event Pack,4.99
U08498,2026-01-10,8,Event Pack,14.99
U09524,2026-01-10,2,Cosmetic,29.99
U12090,2026-01-10,9,Small Pack,0.99
U12161,2026-01-10,1,Event Pack,14.99
U12283,2026-01-10,2,Small Pack,1.99
U13220,2026-01-10,1,Cosmetic,19.99
U15045,2026-01-10,5,Event Pack,14.99
U17720,2026-01-10,2,Event Pack,9.99
U19405,2026-01-10,9,Event Pack,14.99
U22920,2026-01-10,1,Event Pack,4.99
U24586,2026-01-10,0,Monthly Pass,5.99
U25683,2026-01-10,0,Small Pack,2.99
U28233,2026-01-10,1,Small Pack,2.99
U30093,2026-01-10,0,Premium Pack,49.99
U31254,2026-01-10,1,Cosmetic,19.99
U31724,2026-01-10,8,Premium Pack,99.99
U31732,2026-01-10,2,Premium Pack,19.99
U32887,2026-01-10,1,Monthly Pass,4.99
U33434,2026-01-10,1,Monthly Pass,4.99
U34032,2026-01-10,3,Cosmetic,9.99
U34474,2026-01-10,6,Small Pack,0.99
U39676,2026-01-10,1,Monthly Pass,5.99
U42127,2026-01-10,4,Monthly Pass,5.99
U42209,2026-01-10,2,Event Pack,4.99
U46231,2026-01-10,9,Monthly Pass,5.99
U46973,2026-01-10,8,Small Pack,1.99
U47216,2026-01-10,4,Event Pack,4.99
U47249,2026-01-10,6,Cosmetic,19.99
U48531,2026-01-10,0,Premium Pack,49.99
U48627,2026-01-10,3,Monthly Pass,5.99
U49324,2026-01-10,3,Monthly Pass,5.99
U49756,2026-01-10,9,Small Pack,1.99
U00106,2026-01-11,7,Small Pack,2.99
U02848,2026-01-11,9,Premium Pack,49.99
U03596,2026-01-11,0,Event Pack,14.99
U04859,2026-01-11,3,Event Pack,4.99
U08474,2026-01-11,0,Premium Pack,49.99
U09521,2026-01-11,1,Small Pack,1.99
U16505,2026-01-11,2,Event Pack,14.99
U18216,2026-01-11,5,Event Pack,9.99
U19036,2026-01-11,1,Cosmetic,9.99
U19223,2026-01-11,0,Cosmetic,29.99
U22151,2026-01-11,3,Event Pack,4.99
U22578,2026-01-11,0,Monthly Pass,4.99
