user_id,install_date,country,platform,channel
U26202,2026-01-01,JP,Android,TikTok
U22840,2026-01-01,US,iOS,Organic
U01876,2026-01-01,JP,Android,TikTok
U22880,2026-01-01,JP,iOS,Google
U22899,2026-01-01,JP,iOS,TikTok
U02867,2026-01-01,JP,Android,Organic
U39437,2026-01-01,JP,iOS,TikTok
U01868,2026-01-01,US,iOS,TikTok
U22967,2026-01-01,US,iOS,Google
U39389,2026-01-01,JP,Android,Meta
U01865,2026-01-01,US,iOS,TikTok
U09454,2026-01-01,US,Android,Meta
U39322,2026-01-01,JP,iOS,Organic
U39255,2026-01-01,US,Android,Organic
U23015,2026-01-01,US,Android,TikTok
U39195,2026-01-01,JP,Android,Organic
U23032,2026-01-01,US,Android,TikTok
U39183,2026-01-01,JP,Android,Google
U23094,2026-01-01,JP,iOS,Meta
U23120,2026-01-01,JP,iOS,Google
U23177,2026-01-01,JP,iOS,TikTok
U09407,2026-01-01,US,Android,TikTok
U23265,2026-01-01,US,iOS,TikTok
U00779,2026-01-01,US,iOS,TikTok
U39043,2026-01-01,JP,iOS,Organic
U39035,2026-01-01,US,iOS,TikTok
U09396,2026-01-01,JP,Android,Meta
U23326,2026-01-01,US,Android,TikTok
U09463,2026-01-01,JP,iOS,Google
U39507,2026-01-01,JP,iOS,Organic
U22778,2026-01-01,US,iOS,Organic
U39555,2026-01-01,US,Android,Meta
U39985,2026-01-01,US,iOS,TikTok
U22279,2026-01-01,US,iOS,Organic
U05526,2026-01-01,JP,iOS,Meta
U39958,2026-01-01,US,iOS,Meta
U22287,2026-01-01,US,iOS,TikTok
U22296,2026-01-01,JP,Android,Google
U39892,2026-01-01,US,iOS,TikTok
U39890,2026-01-01,JP,iOS,Meta
U39837,2026-01-01,JP,iOS,Google
U39797,2026-01-01,US,Android,Google
U09649,2026-01-01,US,iOS,Organic
U22421,2026-01-01,JP,iOS,TikTok
U22425,2026-01-01,US,iOS,Organic
U23340,2026-01-01,US,Android,Google
U22446,2026-01-01,US,iOS,Google
U22530,2026-01-01,US,Android,TikTok
U22570,2026-01-01,US,Android,Meta
U09555,2026-01-01,JP,iOS,TikTok
U39624,2026-01-01,US,iOS,Meta
U39612,2026-01-01,JP,iOS,TikTok
U39605,2026-01-01,US,iOS,Meta
U22582,2026-01-01,JP,iOS,TikTok
U22623,2026-01-01,JP,iOS,TikTok
U39587,2026-01-01,US,Android,Google
U39584,2026-01-01,US,iOS,TikTok
U00740,2026-01-01,US,iOS,Organic
U39570,2026-01-01,JP,iOS,Organic
U39561,2026-01-01,US,iOS,Google
U22510,2026-01-01,JP,iOS,TikTok
U39993,2026-01-01,JP,iOS,Organic
U38974,2026-01-01,JP,iOS,Meta
U38946,2026-01-01,JP,iOS,TikTok
U09097,2026-01-01,JP,iOS,Organic
U09088,2026-01-01,JP,iOS,Organic
U09046,2026-01-01,JP,iOS,Organic
U09036,2026-01-01,JP,Android,Google
U24422,2026-01-01,JP,iOS,Organic
U24469,2026-01-01,JP,iOS,Google
U38214,2026-01-01,JP,iOS,Organic
U09025,2026-01-01,JP,Android,Google
U05775,2026-01-01,US,Android,Organic
U05813,2026-01-01,JP,iOS,TikTok
U09011,2026-01-01,JP,Android,Organic
U08998,2026-01-01,JP,iOS,Google
U38114,2026-01-01,US,Android,TikTok
U24611,2026-01-01,JP,iOS,Organic
U38033,2026-01-01,US,iOS,Meta
U08992,2026-01-01,US,Android,Organic
U24713,2026-01-01,JP,iOS,Google
U08968,2026-01-01,JP,Android,Organic
U24737,2026-01-01,US,iOS,Google
U00864,2026-01-01,US,Android,TikTok
U37936,2026-01-01,JP,Android,TikTok
U24776,2026-01-01,US,iOS,Meta
U24785,2026-01-01,JP,Android,Google
U24832,2026-01-01,JP,Android,Organic
U24835,2026-01-01,JP,iOS,Organic
U08936,2026-01-01,US,iOS,TikTok
U24860,2026-01-01,US,iOS,TikTok
U24267,2026-01-01,JP,Android,Organic
U38393,2026-01-01,JP,Android,Organic
U24255,2026-01-01,US,iOS,Meta
U38401,2026-01-01,US,Android,TikTok
U38929,2026-01-01,US,iOS,TikTok
U38923,2026-01-01,US,iOS,Organic
U23554,2026-01-01,US,iOS,TikTok
U38900,2026-01-01,US,iOS,Organic
U23555,2026-01-01,JP,iOS,Google
U38887,2026-01-01,JP,iOS,Google
U05637,2026-01-01,US,iOS,Google
U23591,2026-01-01,US,iOS,Organic
U09295,2026-01-01,JP,iOS,TikTok
U23747,2026-01-01,US,Android,TikTok
U38783,2026-01-01,US,Android,Organic
U23754,2026-01-01,JP,Android,Organic
U05681,2026-01-01,JP,iOS,Organic
U23477,2026-01-01,US,Android,Google
U38758,2026-01-01,US,Android,Organic
U38714,2026-01-01,JP,iOS,Organic
U05682,2026-01-01,JP,Android,Google
U09291,2026-01-01,JP,iOS,Meta
U38575,2026-01-01,US,Android,Meta
U23999,2026-01-01,JP,iOS,Google
U24027,2026-01-01,JP,iOS,Google
U24078,2026-01-01,JP,iOS,Organic
U24115,2026-01-01,US,iOS,Meta
U38452,2026-01-01,US,Android,TikTok
U38440,2026-01-01,US,iOS,Meta
U24189,2026-01-01,JP,iOS,Meta
U38413,2026-01-01,US,Android,Organic
U09174,2026-01-01,US,iOS,Organic
U38719,2026-01-01,JP,iOS,Organic
U37822,2026-01-01,JP,iOS,Organic
U09667,2026-01-01,JP,Android,Organic
U40051,2026-01-01,JP,Android,Organic
U05205,2026-01-01,JP,iOS,Organic
U19978,2026-01-01,US,iOS,Meta
U42228,2026-01-01,US,Android,Google
U20028,2026-01-01,JP,Android,Organic
U42167,2026-01-01,US,iOS,TikTok
U20029,2026-01-01,US,iOS,Meta
U42115,2026-01-01,US,Android,TikTok
U05252,2026-01-01,JP,iOS,Meta
U42083,2026-01-01,US,Android,Google
U20226,2026-01-01,US,iOS,TikTok
U42005,2026-01-01,JP,Android,TikTok
U10260,2026-01-01,US,iOS,Meta
U20326,2026-01-01,US,Android,Organic
U41850,2026-01-01,US,iOS,Meta
U10233,2026-01-01,US,iOS,Organic
U02059,2026-01-01,US,iOS,Organic
U20391,2026-01-01,US,iOS,TikTok
U20393,2026-01-01,US,iOS,Organic
U41764,2026-01-01,US,Android,Organic
U20543,2026-01-01,JP,iOS,Organic
U20555,2026-01-01,JP,iOS,Google
U02044,2026-01-01,US,Android,Organic
U41717,2026-01-01,JP,Android,Meta
U10142,2026-01-01,US,iOS,Google
U41690,2026-01-01,JP,Android,Organic
U41667,2026-01-01,JP,Android,Organic
U05284,2026-01-01,US,iOS,Google
U42288,2026-01-01,JP,iOS,TikTok
U03175,2026-01-01,JP,iOS,Organic
U19919,2026-01-01,JP,iOS,Organic
U19910,2026-01-01,JP,Android,Organic
U19332,2026-01-01,JP,iOS,TikTok
U42929,2026-01-01,JP,iOS,TikTok
U42900,2026-01-01,JP,iOS,Google
U42899,2026-01-01,US,iOS,Organic
U19404,2026-01-01,US,iOS,TikTok
U42839,2026-01-01,JP,iOS,Organic
U42821,2026-01-01,US,iOS,Google
U19405,2026-01-01,JP,Android,Google
U04989,2026-01-01,US,iOS,Meta
U19514,2026-01-01,US,Android,Meta
U42778,2026-01-01,JP,iOS,TikTok
U05034,2026-01-01,JP,iOS,Meta
U19757,2026-01-01,US,Android,Meta
U00602,2026-01-01,US,Android,Organic
U10335,2026-01-01,JP,Android,Meta
U19772,2026-01-01,US,Android,Organic
U42664,2026-01-01,US,Android,TikTok
U42656,2026-01-01,US,iOS,Organic
U42655,2026-01-01,JP,Android,Organic
U19789,2026-01-01,US,iOS,Google
U03181,2026-01-01,JP,Android,Google
U05061,2026-01-01,JP,Android,Organic
U19844,2026-01-01,US,iOS,Organic
U42501,2026-01-01,US,iOS,Google
U42492,2026-01-01,US,iOS,TikTok
U42417,2026-01-01,US,Android,TikTok
U10314,2026-01-01,JP,iOS,Google
U42384,2026-01-01,JP,iOS,Organic
U42733,2026-01-01,US,Android,Meta
U01923,2026-01-01,JP,iOS,Organic
U41577,2026-01-01,US,Android,Meta
U20831,2026-01-01,JP,iOS,Organic
U40753,2026-01-01,JP,iOS,Organic
U21571,2026-01-01,JP,iOS,Organic
U00659,2026-01-01,US,Android,Meta
U21591,2026-01-01,US,iOS,Organic
U05423,2026-01-01,US,iOS,TikTok
U21600,2026-01-01,US,Android,TikTok
U00663,2026-01-01,US,iOS,Organic
U21683,2026-01-01,JP,iOS,Organic
