date,DAU,MAU,DAU_MAU,DAU_MAU_pct
2026-01-01,824,824,1.0,100.0
2026-01-02,1210,1704,0.710093896713615,71.01
2026-01-03,1515,2536,0.597397476340694,59.74
2026-01-04,1849,3362,0.5499702558001189,55.0
2026-01-05,2144,4240,0.5056603773584906,50.57
2026-01-06,2422,5084,0.47639653815892996,47.64
2026-01-07,2539,5918,0.4290300777289625,42.9
2026-01-08,2705,6772,0.3994388659184879,39.94
2026-01-09,2976,7685,0.38724788549121664,38.72
2026-01-10,3014,8525,0.3535483870967742,35.35
2026-01-11,3178,9374,0.33902282910177084,33.9
2026-01-12,3380,10212,0.3309831570701136,33.1
2026-01-13,3562,11055,0.3222071460877431,32.22
2026-01-14,3891,11969,0.3250898153563372,32.51
2026-01-15,3878,12835,0.302142578885859,30.21
2026-01-16,3981,13692,0.29075372480280454,29.08
2026-01-17,4159,14544,0.28595984598459845,28.6
2026-01-18,4347,15411,0.28207124781000587,28.21
2026-01-19,4525,16300,0.2776073619631902,27.76
2026-01-20,4607,17141,0.268770783501546,26.88
2026-01-21,4769,17978,0.2652686616976304,26.53
2026-01-22,4730,18877,0.2505694760820046,25.06
2026-01-23,4936,19692,0.2506601665651026,25.07
2026-01-24,5090,20566,0.2474958669648935,24.75
2026-01-25,5190,21447,0.24199188697719962,24.2
2026-01-26,5288,22300,0.23713004484304934,23.71
2026-01-27,5439,23164,0.2348040062165429,23.48
2026-01-28,5315,23988,0.22156911789227948,22.16
2026-01-29,5595,24845,0.2251962165425639,22.52
2026-01-30,5664,25693,0.22044914957381387,22.04
2026-01-31,5766,26572,0.2169953334336896,21.7
2026-02-01,5835,27379,0.21311954417619344,21.31
2026-02-02,5870,28243,0.20783911057607193,20.78
2026-02-03,5938,29059,0.20434288860593963,20.43
2026-02-04,6041,29845,0.2024124643993969,20.24
2026-02-05,6035,30710,0.19651579290133506,19.65
2026-02-06,6176,31566,0.19565355128936196,19.57
2026-02-07,6311,32380,0.19490426189005558,19.49
2026-02-08,6280,33200,0.1891566265060241,18.92
2026-02-09,6343,33970,0.18672357962908448,18.67
2026-02-10,6519,34791,0.18737604552901613,18.74
2026-02-11,6560,35653,0.18399573668415,18.4
2026-02-12,6641,36481,0.18203996600970368,18.2
2026-02-13,6743,37253,0.1810055565994685,18.1
2026-02-14,6613,38060,0.17375197057277983,17.38
2026-02-15,6893,38911,0.17714785022230217,17.71
2026-02-16,7021,39763,0.17657118426678067,17.66
2026-02-17,7007,40556,0.17277344905809253,17.28
2026-02-18,7106,41345,0.17187084290724391,17.19
2026-02-19,7236,42158,0.1716400208738555,17.16
2026-02-20,7321,43006,0.17023206064270102,17.02
2026-02-21,7292,43838,0.16633970527852548,16.63
2026-02-22,7358,44609,0.16494429375238182,16.49
2026-02-23,7350,45365,0.16201917778022704,16.2
2026-02-24,7465,46175,0.16166756903086085,16.17
2026-02-25,7643,46995,0.1626343228002979,16.26
2026-02-26,7374,47765,0.15438082277818485,15.44
2026-02-27,7784,48561,0.16029323943081897,16.03
2026-02-28,7767,49329,0.15745301952198504,15.75
2026-03-01,6991,49263,0.14191177963177232,14.19
2026-03-02,6542,49211,0.13293775781837394,13.29
2026-03-03,6344,49167,0.12902963369739867,12.9
2026-03-04,6122,49116,0.12464370062708689,12.46
2026-03-05,5971,49064,0.1216981901190282,12.17
2026-03-06,5667,48997,0.1156601424577015,11.57
2026-03-07,5682,48911,0.11617018666557626,11.62
2026-03-08,5433,48818,0.11129091728460813,11.13
2026-03-09,5518,48754,0.11318045698814456,11.32
2026-03-10,5200,48698,0.10678056593699947,10.68
2026-03-11,5210,48625,0.107146529562982,10.71
2026-03-12,5085,48527,0.10478702577946299,10.48
2026-03-13,4946,48443,0.10209937452263484,10.21
2026-03-14,4946,48340,0.10231692180388911,10.23
2026-03-15,4704,48231,0.09753063382471855,9.75
2026-03-16,4724,48143,0.09812433790997653,9.81
2026-03-17,4731,48106,0.09834532075001039,9.83
2026-03-18,4518,47983,0.0941583477481608,9.42
2026-03-19,4450,47901,0.09289993945846642,9.29
2026-03-20,4305,47820,0.09002509410288582,9.0
2026-03-21,4247,47728,0.08898340596714717,8.9
2026-03-22,4206,47623,0.08831866955042732,8.83
2026-03-23,4232,47525,0.08904786954234613,8.9
2026-03-24,4091,47402,0.08630437534281254,8.63
2026-03-25,4151,47337,0.08769039018104231,8.77
2026-03-26,3888,47190,0.08239033693579148,8.24
2026-03-27,3779,47056,0.08030856851411085,8.03
2026-03-28,3798,46921,0.08094456639884061,8.09
2026-03-29,3782,46805,0.08080333297724603,8.08
2026-03-30,3672,46682,0.0786598689002185,7.87
2026-03-31,3710,46575,0.07965646806226516,7.97
